Name,text,hashtag_novax,hashtag_antivax,hashtag_cdcwhistleblower,hashtag_vaccineinjury,hashtag_vaxxed,hashtag_cdcfraud,stance,author_username,source_username,nlp_clusters
1339977177215864832,"Remember when #antivax charlatan @delbigtree applauded anti-lockdown advocates @MartinKulldorff, @SunetraGupta &amp; Jay Bhattacharya as ""real scientists with a plan?""

Check out their new plan, Del! Glad you approve. :) https://t.co/cm48s82H7j",0,1,0,0,0,0,Pro-Vaxx,thereal_truther,,Political/Conspiracy
1339923288072597506,"I can't stand when people preface a statement about #CovidVaccines with ""I believe in vaccines BUT...""

Why do you believe? Because you were told to &amp; were lucky enough never had a reason not to. 🤷‍♀️ #vaccines #vaccineinjury",0,0,0,1,0,0,Anti-Vaxx,and_kell,,Political/Conspiracy
1339612541169917952,"#Tbt #vaxxed #vaxxed2 

Way before #covidhoax &amp; #covid #vaccine https://t.co/iIAEPmO6yb",0,0,0,0,1,0,Anti-Vaxx,and_kell,,Info-Sharing
1339853733870616576,"Well.... I'll let this one speak for itself
#antivax #Covid_19 #AbsoluteFuckingNutter #NotWithABargePole https://t.co/M9w9mVsk9i",0,1,0,0,0,0,Anti-Vaxx,PupBellus,,Info-Sharing
1339513242608148482,"Hey @LukePollard why are you not raising these statistics in Parliament? or do you actually believe there is a #pandemic ? 
because the annual stats below indicate otherwise...
#Plandemic #masquerade #Vaxxed https://t.co/BztaI17OE1",0,0,0,0,0,0,Anti-Vaxx,MrCrazee,,Political/Conspiracy
1339923416720281600,@RobbieVdg @Quicktake #novax #covid19 please stop being stupid watching movies with conspiracies and start studying science.,1,0,0,0,0,0,Anti-Vaxx,Andrea_Bacciu,Andrea_Bacciu,Political/Conspiracy
1339961815548141569,My nurse friend who is getting the vaccine today! I did my best and left my thoughts with her. Now I🙏!!!? #covidvaccine #WakeUpAmerica #beinformed #getimformed #antivax #CoronavirusVaccine https://t.co/9zoki5Ivhw,0,1,0,0,0,0,Anti-Vaxx,jasiel11111,,Info-Sharing
1338830084812271616,@KETV I beg to differ.  #Idonotconsent #VAXXED I call these people #illogical #hypochondriacs... Scared of the #media #BigPharma #Advertising master-manipulators &amp; their #lying #government #overlords / Its #idiocracy ... All we are missing is the #BRONDO #mam https://t.co/rSATfah5KL,0,0,0,0,0,0,Anti-Vaxx,SunshineTheGrey,SunshineTheGrey,Political/Conspiracy
1339897785290809345,From FB on #antivax https://t.co/NRB3GJfGNp,0,1,0,0,0,0,Anti-Vaxx,Hasampouli,,Info-Sharing
1339982896220819465,"“I didn’t feel a thing,” Pence says after getting his coronavirus vaccine! BUT WHERE DAT INJECTION AT?! #BreakingNews #vaccine #VAXXED #COVID19 #injection https://t.co/Jyc2sRZ4Bf",0,0,0,0,0,0,Anti-Vaxx,Nypatriot1978,,Info-Sharing
